date,gz_spread,ebp,est_prob
AUG1977,0.9113,-0.2061,0.1423475811
SEP1977,0.9267,-0.1546,0.1571683698
OCT1977,0.9242,-0.1593,0.1557715135
NOV1977,0.9235,-0.1473,0.1593528516
DEC1977,0.7819,-0.3473,0.1066842549
JAN1978,0.7536,-0.3329,0.11000437
FEB1978,0.7074,-0.3366,0.1091338547
MAR1978,0.7114,-0.3374,0.1089586264
APR1978,0.7221,-0.2920,0.1197868205
MAY1978,0.7658,-0.2505,0.1303564204
JUN1978,0.6162,-0.4580,0.0836044324
JUL1978,0.6116,-0.3699,0.1016299625
AUG1978,0.5960,-0.3930,0.0966549739
SEP1978,0.6337,-0.3219,0.1125676177
OCT1978,0.5488,-0.4987,0.0761475296
NOV1978,0.6574,-0.2462,0.1314780441
DEC1978,0.6317,-0.3938,0.0964889331
JAN1979,0.6899,-0.2589,0.1281761922
FEB1979,0.6509,-0.3171,0.1137020794
MAR1979,0.6382,-0.1760,0.1508902895
